"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C9orf84",-0.0191498882783883,2.31612218343195,-0.204578567311106,0.840662155485617,0.897289910758101,-6.59710420027289
"KCNJ15",0.021321258241759,4.63820047633136,0.204533449506208,0.840696776986513,0.897289910758101,-6.59711384766718
"KHNYN",-0.0333519716117188,6.49501791420118,-0.204390663512952,0.840806347176372,0.897365763057043,-6.59714436519091
"RHO",-0.0190032948717951,5.04578063313609,-0.204277708806141,0.840893028037444,0.897417180478443,-6.5971684918877
"CHAT",-0.0231259542124542,5.19376921893491,-0.203950659816488,0.84114401574685,0.897643936584791,-6.5972382735239
"NUCKS1",0.022278992673991,10.6726381065089,0.203859213586453,0.841214197655708,0.897677730175431,-6.59725776529112
"TULP4",0.0306095622710663,7.55414817159763,0.203761090545034,0.841289505341157,0.897710668820463,-6.59727867055354
"RN7SKP177",0.031382963369964,2.21937734023669,0.20371862414746,0.841322098041162,0.897710668820463,-6.59728771498087
"RBFOX2",0.018430644688646,10.0812156272189,0.203532253166286,0.84146514017421,0.897805989007628,-6.59732738581694
"PUM1",-0.025220153846151,9.77471769822485,-0.203501853893167,0.841488472556384,0.897805989007628,-6.59733385316652
"RNU6-797P",0.0565787307692314,2.2244650295858,0.203264249350916,0.841670846679773,0.897959462765059,-6.59738436968785
"RNU6-854P",-0.032048056776556,1.84554863313609,-0.203058590354989,0.841828708464216,0.898086772013342,-6.59742804696401
"ADH1B",-0.0383836904761887,3.87499815384615,-0.202749524323296,0.842065957642533,0.898298758457273,-6.59749360284914
