"","GSM1045517","GSM1045518","GSM1045519","GSM1045520","GSM1045521","GSM1045522","GSM1045523","GSM1045524","GSM1045525","GSM1045526","GSM1045527","GSM1045528","GSM1045529"
"8138741",5.151538,5.011759,5.31549,5.510873,4.825574,5.137477,5.224622,4.764523,4.765609,5.203428,5.161981,4.298994,4.974591
"8138745",4.968544,5.319632,5.585794,5.16467,5.062939,5.209072,5.082453,4.620289,4.382835,4.86231,4.730721,4.281692,4.648872
"8138749",4.322487,4.254928,4.604593,4.555852,4.470332,4.247195,4.257915,4.020201,3.751355,4.177085,4.09175,3.475484,3.919447
"8138757",5.581558,5.581558,6.100043,6.043461,5.889249,5.673958,5.690456,5.532925,5.186374,5.581558,5.381805,4.959448,5.142696
"8138765",3.647375,4.030201,4.650323,4.435924,4.338621,4.105907,4.030201,3.711316,3.915109,3.848106,3.934057,3.647207,4.030201
"8138770",5.857916,5.803303,6.332563,6.550931,5.984499,6.079884,6.182303,5.670677,4.845176,5.803303,5.634432,5.265175,5.164612
"8138773",10.50803,10.68252,10.07335,10.53937,10.05,10.47164,10.76578,10.83274,10.7814,10.63494,10.77107,10.82463,10.7543
"8138776",8.207527,7.984409,8.315708,9.143827,8.307667,8.314459,9.085365,8.796434,7.959537,8.091917,8.474297,8.424056,8.164658
"8138789",8.754334,8.961649,8.993313,9.493134,9.627028,8.801187,9.404227,8.740061,8.904146,8.965075,8.950193,8.965075,8.928998
"8138795",2.382288,2.605302,1.987937,2.117542,3.102856,2.648347,2.346549,2.728989,2.955666,2.164656,2.358571,2.405783,2.527286
"8138797",3.662353,4.311759,4.358444,3.910311,3.602678,4.072813,4.247844,3.787559,4.023668,3.952285,4.151423,3.67669,3.543648
"8138799",5.640848,5.291252,5.717032,5.943367,5.784596,5.797389,5.628795,5.356825,4.794452,5.637942,5.441758,5.275247,5.165604
"8138805",4.023767,4.106053,4.026857,4.059834,4.364006,4.130877,4.035922,3.94478,3.530462,4.08093,3.938738,3.609174,4.049882
"8138822",4.15219,5.975445,4.90339,4.47234,5.438025,5.085712,4.572044,3.914445,5.298825,4.293238,5.504164,4.811749,5.290736
"8138824",11.02661,10.71174,10.61559,10.601,10.55896,10.66005,10.70058,10.5751,10.73577,10.54318,10.58463,10.3831,10.17251
"8138834",8.936018,8.75714,9.123878,8.457417,9.141129,8.709476,8.531253,9.052613,9.510037,9.465869,9.576575,9.901176,9.498055
"8138842",5.862141,5.710847,5.481931,5.650308,5.706782,5.400198,5.722534,5.983629,6.263242,6.095142,5.940413,6.480294,6.451334
"8138857",7.205864,7.195404,7.323744,6.740216,7.104946,6.496637,6.793444,7.276921,7.408794,7.483363,7.432127,7.879426,7.503277
"8138862",6.010095,6.323694,5.244724,5.710837,5.778111,5.848999,5.553933,5.660144,5.778111,5.164764,5.905772,6.152865,5.778111
"8138865",5.477878,4.72075,5.709341,5.343253,5.448815,5.080007,5.233719,5.261828,4.639245,5.264521,5.095229,4.918416,4.80078
"8138882",4.709144,4.385856,4.295371,4.902516,4.751404,4.295044,4.514868,4.02618,3.875486,4.295371,4.295371,4.269274,4.385083
"8138888",5.236697,6.985432,6.99952,7.173345,6.655347,6.983714,6.714746,5.532183,6.604623,4.97913,6.655347,6.556329,7.116073
"8138912",4.917117,5.255794,5.376987,5.463008,4.799047,4.934062,5.396702,7.752344,6.21659,5.894918,5.326735,6.593352,6.655304
"8138920",4.661223,4.706908,4.602757,4.735656,5.234486,4.608848,4.652329,4.137541,4.280962,4.192182,4.277534,3.790303,4.200212
"8138922",7.382542,7.263509,7.312538,6.958525,7.139602,7.449785,7.600835,7.978337,8.445435,7.993367,8.012811,8.417704,8.337379
"8138930",7.164164,7.058904,6.753665,7.069608,7.070002,7.031282,7.417339,7.289516,6.95776,6.902165,7.034773,7.062339,7.402078
"8138939",3.533532,3.517573,4.347146,4.819007,3.880604,3.895747,4.010304,4.435563,3.186574,3.620987,3.848933,3.491292,3.744515
"8138941",5.545635,5.450184,5.300278,5.20169,6.121293,5.635162,6.078139,6.026452,5.851271,5.857996,5.947287,6.258686,5.815603
"8138948",4.068809,4.202813,4.128236,4.128236,4.128236,3.853372,4.268662,4.128236,4.128236,4.388751,3.938079,3.940428,3.677644
"8138950",7.551775,6.998634,7.210044,7.379049,7.50698,7.431022,7.577913,7.916551,7.711712,7.886588,7.872443,8.204617,7.7953
"8138956",2.259474,2.508489,1.581926,1.855951,2.946627,1.856754,2.019691,1.915699,2.18559,1.886174,1.844611,1.804003,1.862238
"8138958",3.208644,3.668599,3.597326,3.572639,3.432612,3.389073,3.177425,3.187917,3.487102,3.449085,3.318299,3.424862,3.432612
"8138977",7.600804,7.842873,7.423022,8.140113,7.639407,7.698747,8.31755,8.354936,8.423945,8.055448,8.199685,8.16766,8.465917
